City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
554,San Felipe,VE,84.52,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
559,Thessalon,CA,68.29,overcast clouds,46.2501,-83.5666,Carolyn Beach Inn & Restaurant
561,Quixada,BR,82.92,broken clouds,-4.9714,-39.0153,Hotel Vale das Pedras
562,Orito,CO,71.4,overcast clouds,0.6766,-76.8771,Mayju
563,Alta Floresta,BR,82.22,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
568,Broome,US,71.46,broken clouds,42.2506,-75.833,Chenango Valley State Park
571,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
572,Ipil,PH,74.5,few clouds,7.75,122.5167,
573,Altay,CN,69.37,clear sky,47.8667,88.1167,Jinqiao Hotel
575,Gushikawa,JP,76.23,scattered clouds,26.3544,127.8686,Kirari Guest House
580,Bogo,PH,78.12,broken clouds,11.0517,124.0055,Acrige Apartelle
583,Korcula,HR,75.63,clear sky,42.9622,17.1369,Marko Polo Hotel by Aminess
585,Wattegama,LK,75.78,overcast clouds,6.7989,81.4808,
586,Chiang Khong,TH,73.42,overcast clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
587,Naze,JP,72.52,overcast clouds,28.3667,129.4833,Shishime Hotel
590,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
592,Aleksandrovka,UA,71.11,light rain,46.8383,32.7612,
593,Malindi,KE,77.16,broken clouds,-3.2175,40.1191,African House Resort
594,Brigantine,US,73.6,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
598,Camopi,GF,80.46,broken clouds,3.1655,-52.3158,La pousada
600,Bay Roberts,CA,73.15,overcast clouds,47.5999,-53.2648,Stonewall Inn
603,Riesa,DE,74.64,overcast clouds,51.3,13.3,Mercure Hotel Riesa Dresden Elbland
606,Kaohsiung,TW,79.03,light rain,22.6163,120.3133,御宿商旅-中山館
607,Wadi Maliz,TN,78.46,clear sky,36.4681,8.5495,Heremony
608,Yuli,NG,82.87,few clouds,9.6989,10.2744,
609,Nicoya,CR,84.47,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
611,Jian,CN,70.56,overcast clouds,27.1172,114.9793,Luling International Hotel
612,Korla,CN,81.27,overcast clouds,41.7597,86.1469,Gulisitan Hotel
613,Piotrkow Trybunalski,PL,71.42,broken clouds,51.4055,19.7032,Best Western Hotel Trybunalski
615,Esterhazy,CA,74.25,overcast clouds,50.65,-102.0843,Canalta Hotel Esterhazy
616,Ziway,ET,70.54,light rain,7.9333,38.7167,Haile Resort Ziway Batu
617,Cacapava,BR,70.05,overcast clouds,-23.1008,-45.7069,Arcadas Hotel
619,Hope,US,84.25,scattered clouds,33.6671,-93.5916,Best Western Hope
620,Galle,LK,79.95,light rain,6.0367,80.217,Amangalla
622,Diamantino,BR,69.8,overcast clouds,-14.4086,-56.4461,Hotel Delta
625,Kayseri,TR,73.42,scattered clouds,38.737,35.4968,ibis Kayseri
626,Druzhba,UA,68.81,overcast clouds,52.0428,33.9453,
627,Eureka,US,77.18,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
630,Gambela,ET,75.42,scattered clouds,8.25,34.5833,Solomon Debebe Hotel
632,Tura,IN,73.92,light rain,25.5198,90.2201,Hotel RIKMAN Continental
633,Bandarbeyla,SO,79.59,overcast clouds,9.4942,50.8122,JABIR HOTEL
636,Gravelbourg,CA,71.87,overcast clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
637,Codajas,BR,78.6,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
639,Douala,CM,76.75,broken clouds,4.0483,9.7043,Douala Rabingha Hôtel
641,Tias,ES,71.28,scattered clouds,28.9611,-13.645,Hotel Beatriz Playa & SPA
643,Santa Rosa Del Sur,CO,78.66,overcast clouds,7.9644,-74.0544,Hotel hoquidea del sur
646,Chippewa Falls,US,71.78,overcast clouds,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
647,Cordoba,AR,68.85,clear sky,-31.4135,-64.1811,Hotel Sussex
648,Saint-Francois,FR,80.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
652,Caravelas,BR,75.83,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
655,Palafrugell,ES,81.34,clear sky,41.9174,3.1631,Hotel La Torre
663,San Andres,CO,75.22,moderate rain,12.5847,-81.7006,Hotel Arena Blanca
665,Monrovia,LR,78.1,light rain,6.3005,-10.7969,Sunset Inn
672,Kailua,US,81.48,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
