City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Dikson,RU,2022-06-06 17:44:40,73.5069,80.5464,29.37,97,100,11.14
267,Labuan,MY,2022-06-06 17:44:41,5.2767,115.2417,75.56,100,40,2.3
268,Springbok,ZA,2022-06-06 17:44:41,-29.6643,17.8865,60.53,22,80,7.78
269,Provideniya,RU,2022-06-06 17:44:42,64.3833,-173.3,44.87,61,39,2.04
270,Deputatskiy,RU,2022-06-06 17:44:42,69.3,139.9,45.81,53,100,5.08
271,San Luis,AR,2022-06-06 17:42:42,-33.295,-66.3356,68.79,24,0,5.59
272,Adrar,MR,2022-06-06 17:44:43,20.5022,-10.0711,105.66,8,86,14.32
273,Leiyang,CN,2022-06-06 17:45:44,26.4024,112.8591,74.23,95,92,1.43
274,Nuuk,GL,2022-06-06 17:45:44,64.1835,-51.7216,48.81,40,20,31.07
275,Quime,BO,2022-06-06 17:45:44,-16.9833,-67.2167,53.71,83,87,4.92
276,Vestmanna,FO,2022-06-06 17:45:45,62.1564,-7.1664,52.72,82,20,8.05
277,Laguna,US,2022-06-06 17:45:45,38.421,-121.4238,78.08,56,0,4.61
278,Mangrol,IN,2022-06-06 17:45:46,21.1167,70.1167,82.89,85,83,8.84
279,Soto La Marina,MX,2022-06-06 17:45:46,23.7667,-98.2167,104.83,18,10,11.21
280,Rawalpindi,PK,2022-06-06 17:45:47,33.6007,73.0679,95.23,23,2,1.99
281,Sabang,ID,2022-06-06 17:45:47,5.8933,95.3214,83.05,75,97,13.06
282,Bundaberg,AU,2022-06-06 17:45:48,-24.85,152.35,59.22,86,65,3.0
283,Oranjestad,AW,2022-06-06 17:45:48,12.524,-70.027,87.75,66,75,20.71
284,Tra Vinh,VN,2022-06-06 17:44:55,9.9347,106.3453,77.36,91,90,5.84
285,Carbonia,IT,2022-06-06 17:45:49,39.1672,8.5222,86.95,41,19,7.14
286,Ponta Do Sol,PT,2022-06-06 17:45:49,32.6667,-17.1,75.0,80,57,0.81
287,Nome,US,2022-06-06 17:45:33,64.5011,-165.4064,64.47,42,100,0.0
288,Muqui,BR,2022-06-06 17:45:50,-20.956,-41.3531,76.26,44,15,2.53
289,Sorland,NO,2022-06-06 17:45:50,67.667,12.6934,44.46,76,88,32.39
290,Faanui,PF,2022-06-06 17:45:51,-16.4833,-151.75,80.87,71,6,18.66
291,Fort-Shevchenko,KZ,2022-06-06 17:45:51,44.5086,50.263,74.52,48,61,8.14
292,Pochutla,MX,2022-06-06 17:45:52,15.7432,-96.4661,88.83,54,81,8.3
293,Klaksvik,FO,2022-06-06 17:45:52,62.2266,-6.589,54.52,93,70,7.83
294,Key West,US,2022-06-06 17:45:18,24.5557,-81.7826,91.4,76,20,11.5
