City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Yellowknife,CA,2022-06-11 18:28:50,62.456,-114.3525,66.72,59,40,18.41,scattered clouds
202,Luderitz,NA,2022-06-11 18:29:09,-26.6481,15.1594,64.92,49,54,8.95,broken clouds
203,Alyangula,AU,2022-06-11 18:29:10,-13.8483,136.4192,69.26,67,90,13.2,overcast clouds
204,Ust-Maya,RU,2022-06-11 18:29:10,60.4167,134.5333,51.06,76,95,1.86,overcast clouds
205,Popondetta,PG,2022-06-11 18:29:11,-8.7537,148.2534,72.48,91,100,2.95,overcast clouds
206,Vestmanna,FO,2022-06-11 18:29:11,62.1564,-7.1664,52.72,82,75,13.8,light rain
207,Iqaluit,CA,2022-06-11 18:29:12,63.7506,-68.5145,51.53,50,75,11.5,broken clouds
208,Vrede,ZA,2022-06-11 18:29:13,-27.4257,29.1659,44.67,49,0,3.4,clear sky
209,Tateyama,JP,2022-06-11 18:29:13,34.9833,139.8667,66.09,90,100,21.34,light rain
210,Praia Da Vitoria,PT,2022-06-11 18:29:14,38.7333,-27.0667,61.75,94,75,7.61,broken clouds
211,Gat,IL,2022-06-11 18:29:14,31.61,34.7642,89.4,30,0,7.07,clear sky
212,General Roca,AR,2022-06-11 18:29:15,-39.0333,-67.5833,60.62,21,70,6.89,broken clouds
213,Cuichapa,MX,2022-06-11 18:29:15,18.7667,-96.8667,87.51,52,16,4.61,few clouds
214,Xining,CN,2022-06-11 18:29:16,36.6167,101.7667,49.14,85,77,2.91,broken clouds
215,Jiangyou,CN,2022-06-11 18:29:16,31.7667,104.7167,69.73,86,100,0.87,moderate rain
216,Praia,CV,2022-06-11 18:29:18,14.9215,-23.5087,81.14,65,0,2.3,clear sky
217,Carnarvon,AU,2022-06-11 18:27:30,-24.8667,113.6333,70.5,69,1,12.01,clear sky
218,Chiredzi,ZW,2022-06-11 18:29:18,-21.05,31.6667,63.41,66,89,3.15,overcast clouds
219,Grindavik,IS,2022-06-11 18:29:19,63.8424,-22.4338,53.55,81,75,18.41,broken clouds
220,Ponta Do Sol,PT,2022-06-11 18:29:20,32.6667,-17.1,75.7,79,0,2.15,clear sky
221,Tocopilla,CL,2022-06-11 18:29:20,-22.092,-70.1979,66.67,64,9,7.11,clear sky
222,Panzhihua,CN,2022-06-11 18:29:21,26.5851,101.7128,72.77,82,94,0.2,overcast clouds
223,Hofn,IS,2022-06-11 18:29:21,64.2539,-15.2082,51.48,76,100,4.59,overcast clouds
224,Wagar,SD,2022-06-11 18:29:22,16.1525,36.2032,97.88,24,46,11.18,scattered clouds
225,San Patricio,US,2022-06-11 18:29:23,28.017,-97.5169,99.07,30,5,12.66,clear sky
226,Waipawa,NZ,2022-06-11 18:29:23,-41.4122,175.5153,51.21,73,31,19.44,light rain
227,Ponce,PR,2022-06-11 18:27:43,18.073,-66.6185,80.6,77,37,13.91,scattered clouds
228,Georgetown,MY,2022-06-11 18:27:35,5.4112,100.3354,77.95,94,40,4.61,scattered clouds
229,Gornyy,RU,2022-06-11 18:29:25,55.1153,83.9059,64.51,77,88,11.59,overcast clouds
230,Kibala,TD,2022-06-11 18:29:25,9.1104,18.3463,87.75,66,20,0.0,few clouds
231,Bisira,PA,2022-06-11 18:30:26,8.5196,-81.7115,67.1,84,100,1.7,overcast clouds
232,Manggar,ID,2022-06-11 18:30:26,-2.8833,108.2667,80.67,77,100,0.83,overcast clouds
233,Lebu,CL,2022-06-11 18:30:27,-37.6167,-73.65,55.31,68,100,4.81,overcast clouds
234,Evensk,RU,2022-06-11 18:30:28,61.95,159.2333,41.36,95,100,8.28,light rain
235,Mount Gambier,AU,2022-06-11 18:30:29,-37.8333,140.7667,50.76,78,100,10.11,overcast clouds
236,Richards Bay,ZA,2022-06-11 18:30:29,-28.783,32.0377,66.78,81,0,13.47,clear sky
237,Tabuk,PH,2022-06-11 18:27:46,17.4189,121.4443,75.38,90,100,3.06,overcast clouds
238,San Cristobal,VE,2022-06-11 18:30:32,7.7669,-72.225,78.98,52,100,7.4,overcast clouds
239,Saint George,US,2022-06-11 18:30:23,37.1041,-113.5841,105.64,12,0,4.0,clear sky
240,Mpongwe,ZM,2022-06-11 18:30:33,-13.5091,28.155,57.51,57,5,8.1,clear sky
241,Magole,TZ,2022-06-11 18:30:34,-6.3667,37.3667,69.57,83,92,2.1,overcast clouds
242,Callaguip,PH,2022-06-11 18:30:34,18.0714,120.4867,77.02,94,75,4.61,broken clouds
243,Cabedelo,BR,2022-06-11 18:30:35,-6.9811,-34.8339,74.07,76,17,6.13,moderate rain
244,Jumla,NP,2022-06-11 18:30:35,29.2747,82.1838,59.85,77,69,1.36,broken clouds
245,Angoche,MZ,2022-06-11 18:30:36,-16.2325,39.9086,68.92,88,1,9.46,clear sky
246,Soyo,AO,2022-06-11 18:30:36,-6.1349,12.3689,74.68,89,94,6.93,overcast clouds
247,Yangjiang,CN,2022-06-11 18:30:37,21.85,111.9667,77.63,93,100,4.56,overcast clouds
248,Coruripe,BR,2022-06-11 18:30:38,-10.1256,-36.1756,78.4,85,85,7.38,overcast clouds
249,Ciudad Bolivar,VE,2022-06-11 18:30:38,8.1222,-63.5497,90.16,48,100,8.9,overcast clouds
250,Chute-Aux-Outardes,CA,2022-06-11 18:30:39,49.1168,-68.399,66.18,63,40,23.02,scattered clouds
251,Hwange,ZW,2022-06-11 18:30:40,-18.3693,26.5019,59.81,56,0,2.19,clear sky
252,Zhigansk,RU,2022-06-11 18:30:40,66.7697,123.3711,47.98,82,100,12.08,overcast clouds
253,Magway,MM,2022-06-11 18:30:41,20.15,94.9167,81.34,72,100,10.4,overcast clouds
254,Aykhal,RU,2022-06-11 18:30:41,66.0,111.5,44.11,81,100,8.05,overcast clouds
255,Jharsuguda,IN,2022-06-11 18:30:42,21.85,84.0333,84.83,57,99,8.72,overcast clouds
256,Alihe,CN,2022-06-11 18:30:43,50.5667,123.7167,52.81,73,100,0.98,overcast clouds
257,Kingman,US,2022-06-11 18:30:19,35.1894,-114.053,102.18,6,0,6.91,clear sky
258,Ust-Kulom,RU,2022-06-11 18:30:43,61.6864,53.6902,41.99,83,100,10.18,overcast clouds
259,Beringovskiy,RU,2022-06-11 18:30:44,63.05,179.3167,39.29,77,95,8.16,overcast clouds
260,Zhigalovo,RU,2022-06-11 18:30:45,54.8097,105.1578,51.89,65,26,1.39,scattered clouds
